WBAN,STATION_ID,STATION_NAME,"LATN/LONGW(deg,min,sec)",ELEV(ft),TOWER_HEIGHT(m),TROPICAL,COASTAL,INLAND,"LAT_N(deg,min,sec)","LONG_W(deg,min,sec)"
92999,RKJK,"Kunsan AB, Korea",355527 / 1263720E,78,30,1,1,0,355527, 1263720E
94987,KARX,"La Crosse, WI",434922 / 0911128,1276,20,0,0,1,434922,911128
93999,LPLA,"Lajes AB, Azores",384349 / 0271918,3334,20,1,1,0,384349,271918
3937,KLCH,"Lake Charles, LA",300731 / 0931257,13,20,1,1,0,300731,931257
53110,KESX,"Las Vegas, NV",354204 / 1145329,4867,20,0,0,1,354204,1145329
22015,KDFX,"Laughlin AFB, TX",291622 / 1001650,1131,10,0,0,1,291622,1001650
4833,KILX,"Lincoln, IL",400902 / 0892013,582,30,0,0,1,400902,892013
3952,KLZK,"Little Rock, AR",345011 / 0921544,568,20,0,0,1,345011,921544
53101,KVTX,"Los Angeles, CA",342442 / 1191046,2726,20,0,1,0,342442,1191046
53827,KLVX,"Louisville, KY",375831 / 0855638,719,30,0,0,1,375831,855638
23042,KLBB,"Lubbock, TX",333915 / 1014851,3259,20,0,0,1,333915,1014851
94850,KMQT,"Marquette, MI",463152 / 0873254,1411,30,0,0,1,463152,873254
53826,KMXX,"Maxwell AFB, AL",323212 / 0854723,400,30,0,0,1,323212,854723
94296,KMAX,"Medford, OR",420452 / 1224302,7513,10,0,1,0,420452,1224302
12838,KMLB,"Melbourne, FL",280648 / 0803915,35,20,1,1,0,280648,803915
93839,KNQA,"Memphis, TN",352041 / 0895224,282,20,0,0,1,352041,895224
12899,KAMX,"Miami, FL",253640 / 0802446,14,20,1,1,0,253640,802446
94999,PAIH,"Middleton Island, AK",592741 / 1461811,67,10,0,1,0,592741,1461811
23023,KMAF,"Midland/Odessa, TX",315636 / 1021121,2868,10,0,0,1,315636,1021121
4834,KMKX,"Milwaukee, WI",425804 / 0883302,958,10,0,0,1,425804,883302
94983,KMPX,"Minneapolis/St. Paul, MN",445056 / 0933356,946,30,0,0,1,445056,933356
94048,KMBX,"Minot AFB, ND",482333 / 1005154,1493,20,0,0,1,482333,1005154
4103,KMSX,"Missoula, MT",470228 / 1135910,7855,10,0,0,1,470228,1135910
13894,KMOB,"Mobile, AL",304046 / 0881423,208,20,1,1,0,304046,881423
22547,PHMO,"Molokai, HI",210758 / 1571048,1363,20,1,1,0,210758,1571048
53856,KVAX,"Moody AFB, GA",302325 / 0830006,173,30,1,1,0,302325,830006
93768,KMHX,"Morehead City, NC",344634 / 0765234,31,30,1,1,0,344634,765234
53833,KOHX,"Nashville, TN",361450 / 0863345,579,20,0,0,1,361450,863345
53813,KLIX,"New Orleans, LA",302012 / 0894932,24,30,1,1,0,302012,894932
